"gender","usage","credit","loan","history","accounts","status"
"女性",1.02302185181063,3000,0,0,26,0
"男性",1.25284411701374,3000,0,1,8,0
"男性",0.720450898446143,3000,0,3,4,2
"男性",1.06797475784086,10000,2507,0,1,0
"男性",0.446296769278124,5000,0,1,0,1
"女性",1.10735014379025,2000,373,0,1,2
"女性",0,3000,0,1,4,0
"男性",0.617737369756214,10000,0,1,2,0
"女性",0.422815278694034,3000,0,0,2,0
"男性",1.25211710163858,3000,0,1,0,0
"男性",1.22802194962278,10000,3756,3,3,2
"男性",1.01865973788314,3000,0,1,1,0
"女性",0.225625286945142,3000,0,0,0,1
"女性",0.288390512955375,3000,0,0,1,0
"男性",1.14156901855953,5000,0,3,3,5
"男性",1.09438897357322,3000,6074,0,4,3
"男性",0,5000,0,0,0,0
"女性",0.447315602861345,2500,0,0,10,2
"男性",1.21281824877486,5000,0,2,1,1
"男性",0.232483446500264,5000,1741,2,1,2
"男性",1.14869380267337,4000,0,4,0,2
"男性",0.470117847789079,6000,0,1,1,2
"男性",0.582887461669743,3000,0,2,5,3
"女性",0,3000,0,0,0,2
"男性",1.54450058189221,5000,0,1,0,0
"男性",2.31422637026291,2000,0,4,22,7
"男性",0,8000,0,0,1,6
"男性",0.470904055694118,3000,0,0,0,1
"男性",1.42834888246376,2000,0,0,38,3
"女性",1.15264612632338,2000,0,9,1,2
"男性",1.27626541943289,1000,0,1,10,3
"男性",0.821220559519716,3000,0,2,0,3
"女性",0.559074314739555,3000,0,3,5,1
"男性",1.28777896962129,10000,0,0,12,2
"女性",1.09926235750318,3000,1076,1,5,3
"男性",0.854134556963108,5000,0,5,1,2
"男性",0.318127571046352,7000,9885,0,2,3
"女性",1.01414070263505,3000,0,4,7,3
"男性",0.995785610186867,3000,0,0,23,0
"男性",0.919690097272396,5000,3219,0,10,1
"男性",0.111285721734166,10000,0,0,1,0
"男性",1.09596540102269,10000,493,1,7,1
"男性",1.067410223037,3000,0,2,0,3
"女性",0.056202419642359,5000,0,0,2,0
"男性",1.08513230561744,3000,0,0,1,0
"女性",1.09969871079549,1000,0,5,4,7
"男性",1.1117158513004,8000,4914,0,4,0
"男性",0,50000,11058,0,2,3
"女性",1.24431356843561,3000,0,0,3,0
"男性",0.0627245224593207,5000,0,0,3,0
"男性",0.648675674987025,4000,0,0,0,2
"女性",0.594506266210228,3000,3463,2,8,0
"女性",0.943602442285046,5000,0,3,0,0
"男性",0.239568822216243,4000,0,1,2,1
"男性",1.25705944254529,10000,0,4,2,1
"男性",1.26428826899268,5000,0,1,1,2
"男性",1.21504451971035,3000,0,0,0,0
"男性",0,3000,0,0,1,2
"女性",0.397762868353166,3000,0,2,2,4
"男性",0,10000,0,0,0,2
"女性",0.564785701958463,10000,0,0,2,3
"女性",0,3000,0,0,0,0
"女性",1.55568367151078,5000,5951,0,11,0
"男性",0.779015778163448,4000,0,0,4,0
"男性",1.25718416037504,3000,0,0,3,2
"女性",0.465772853344679,3000,0,1,1,2
"男性",0.492567906724289,5000,0,1,5,2
"男性",1.1198342734063,5000,0,1,1,2
"男性",0,3000,0,0,0,2
"男性",0.852637779121287,3000,0,1,3,1
"男性",0.330201287684031,20000,0,0,2,1
"男性",0.959846564563923,5000,0,3,2,1
"男性",1.25354701855686,3000,0,0,11,0
"男性",0,5000,0,7,2,0
"男性",0.252381845503114,3000,0,0,0,2
