"户籍","性别","年龄","工作时间.月.","是否离职"
"本地","男",25,16,1
"本地","女",31,17,1
"本地","男",27,15,1
"本地","女",25,14,1
"本地","女",26,23,0
"本地","男",30,23,0
"本地","女",32,20,1
"本地","男",25,17,1
"本地","女",25,17,0
"本地","男",26,14,1
"本地","女",25,12,1
"本地","女",25,23,0
"本地","女",27,12,1
"本地","男",31,18,0
"异地","男",31,14,1
"本地","男",32,7,1
"本地","女",28,24,0
"本地","女",31,15,1
"本地","女",27,16,0
"本地","女",31,14,1
"本地","男",25,23,0
"异地","男",21,21,0
"本地","女",26,21,0
"本地","男",33,11,0
"异地","男",28,16,0
"本地","男",36,2,1
"本地","男",33,2,1
"本地","女",25,3,1
"异地","男",32,2,1
"本地","女",26,7,1
"异地","男",31,8,1
"异地","男",30,2,1
"本地","男",31,6,1
"本地","男",31,5,1
"本地","男",25,2,1
"异地","男",21,4,1
"异地","男",26,11,0
"异地","男",31,5,1
"异地","男",27,2,1
"异地","男",26,6,1
"本地","男",35,1,1
"异地","女",26,2,1
"异地","男",25,2,1
"本地","男",32,4,1
"异地","女",33,2,1
"本地","女",26,10,1
"异地","女",32,4,1
"异地","男",25,12,0
"本地","男",32,4,1
"异地","女",28,11,1
"本地","男",35,4,1
"异地","男",31,2,1
"本地","男",35,11,0
"本地","男",31,9,1
"异地","男",25,2,1
"异地","男",34,10,1
"本地","男",30,2,1
"本地","男",30,3,1
"本地","男",20,11,1
"本地","男",26,1,1
"本地","男",28,1,1
"异地","男",31,3,1
"异地","女",26,7,1
"异地","男",21,5,1
"异地","男",25,4,1
"异地","男",28,11,0
"异地","男",30,11,0
"本地","女",31,3,1
"异地","男",24,9,1
"异地","男",26,2,1
"异地","男",27,2,1
"异地","女",32,2,1
"异地","男",30,1,1
"本地","男",35,2,1
"异地","男",36,1,1
"异地","男",32,1,1
"本地","男",25,4,1
"异地","男",20,3,1
"异地","女",35,30,1
"本地","女",25,35,0
"异地","男",31,34,0
"异地","男",30,24,0
"本地","女",46,22,1
"本地","男",33,5,1
"本地","男",27,32,0
"异地","女",31,28,1
"异地","男",33,34,0
"本地","男",25,28,0
"本地","女",26,12,0
"异地","男",27,32,0
"本地","女",43,11,0
"本地","女",25,20,0
"本地","男",35,9,1
"异地","男",27,20,0
"本地","女",36,18,0
"异地","男",35,35,0
"异地","女",36,22,0
"本地","女",30,30,1
"异地","女",31,11,0
"异地","女",26,11,1
"异地","男",37,15,0
"本地","女",26,30,0
"本地","女",36,17,1
"本地","女",27,11,0
"本地","女",26,7,1
"本地","女",25,11,0
"本地","女",25,6,1
"本地","女",26,9,0
"本地","男",33,5,1
"本地","女",35,10,0
"本地","男",25,4,1
"异地","女",25,10,0
"本地","女",26,10,0
"异地","男",31,10,0
"异地","男",31,10,0
"异地","男",31,10,0
"异地","男",24,10,0
"异地","男",26,6,1
"本地","男",35,10,0
"异地","男",30,3,1
"异地","女",26,7,1
"异地","男",31,7,1
"本地","男",25,3,1
"本地","女",33,7,1
"异地","男",26,4,1
"异地","男",32,7,1
"本地","女",26,4,1
"本地","女",25,5,1
"异地","女",25,9,0
"本地","男",32,9,1
"本地","男",27,5,1
"本地","女",26,3,1
"异地","男",25,6,1
"异地","男",32,3,1
"异地","男",31,4,1
"本地","男",31,9,1
"本地","男",31,2,1
"异地","男",31,8,0
"本地","男",27,6,1
"异地","男",31,7,1
"本地","女",25,8,1
"本地","男",27,5,1
"异地","男",48,2,1
"本地","男",33,6,1
"异地","男",32,5,1
"异地","男",30,6,1
"异地","女",33,3,1
"本地","男",35,2,1
"本地","女",26,3,1
"本地","男",26,3,1
"本地","男",47,8,1
"异地","女",20,4,1
"本地","男",32,2,1
"异地","男",31,5,1
"本地","男",20,3,1
"异地","女",30,8,0
"异地","男",28,5,1
"本地","女",26,9,0
"本地","男",30,4,1
"本地","男",45,9,0
"异地","女",30,4,1
"本地","男",37,2,1
"异地","女",31,3,1
"异地","女",20,2,1
"本地","男",26,1,1
"异地","女",21,1,1
"异地","女",26,1,1
"本地","男",26,1,1
"本地","男",28,2,1
"异地","女",30,2,1
"本地","男",30,1,1
"异地","男",26,1,1
"本地","男",30,4,1
"异地","男",20,2,1
"本地","男",30,2,1
"本地","男",26,2,1
"本地","男",34,2,1
"本地","男",27,4,1
"异地","女",21,2,1
"本地","女",25,8,1
"本地","男",25,8,1
"本地","女",31,3,1
"异地","男",30,2,1
"异地","男",25,2,1
"异地","男",20,2,1
"异地","男",25,4,1
"本地","女",26,2,1
"本地","男",25,1,1
"本地","女",45,4,1
"本地","男",28,2,1
"本地","男",27,3,1
"异地","男",25,3,1
"异地","男",32,2,1
"本地","女",22,2,1
"本地","男",22,2,1
"本地","男",25,3,1
"本地","男",31,1,1
"本地","男",25,3,1
"异地","男",26,2,1
"本地","男",25,1,1
"异地","男",30,2,1
"本地","男",30,3,1
"本地","男",47,2,1
"本地","男",22,2,1
"异地","男",30,4,1
"异地","男",27,2,1
"异地","女",27,2,1
"异地","男",25,2,1
"异地","女",25,2,1
"异地","男",26,1,1
"本地","男",45,4,1
"本地","男",20,2,1
"本地","男",21,2,1
"本地","男",28,2,1
"本地","男",30,2,1
"本地","男",30,1,1
"本地","男",31,4,1
"异地","男",21,2,1
"本地","女",30,5,1
"本地","女",22,3,1
"本地","男",27,3,1
"本地","女",30,3,1
"本地","女",21,2,1
"本地","男",25,4,1
"本地","女",27,4,1
"异地","男",26,2,1
"本地","男",25,2,1
"本地","男",25,5,1
"异地","男",21,3,1
"异地","男",30,2,1
"异地","男",21,3,1
"异地","男",31,5,1
"异地","男",26,3,1
"本地","男",27,4,1
"异地","男",29,3,1
"本地","男",27,3,1
"异地","女",32,3,1
"异地","男",26,3,1
"异地","男",32,2,1
"异地","女",21,1,1
"本地","女",41,3,1
"异地","女",30,3,1
"异地","男",26,2,1
"异地","男",25,4,1
"本地","男",32,2,1
"本地","男",25,3,1
"异地","男",28,1,1
"异地","男",26,2,1
"本地","男",30,3,1
"本地","男",37,3,1
"本地","男",26,4,1
"本地","女",31,4,1
"本地","男",30,4,1
"异地","男",31,2,1
"本地","男",20,4,1
"异地","男",25,3,1
"异地","男",30,2,1
"异地","女",22,3,1
"异地","男",27,2,1
"本地","男",26,4,1
"异地","男",26,3,1
"本地","男",31,5,1
"本地","女",21,4,1
"本地","男",25,3,1
"本地","女",25,2,1
"异地","男",25,3,1
"异地","女",30,3,1
"异地","女",20,3,1
"本地","女",20,3,1
"本地","男",26,4,1
"本地","男",28,3,1
"本地","女",25,3,1
"本地","男",21,2,1
"异地","男",30,2,1
"异地","男",26,2,1
"异地","男",25,3,1
"异地","男",20,4,1
"异地","女",30,5,1
"本地","男",25,5,1
"异地","男",25,2,1
"异地","男",20,4,1
"本地","男",30,5,1
"异地","男",26,2,1
"异地","男",30,4,1
"异地","女",30,2,1
"本地","男",25,2,1
"异地","女",21,1,1
"异地","女",30,2,1
"本地","男",27,1,1
"本地","男",26,1,1
"异地","男",30,5,1
"异地","男",25,4,1
"异地","女",21,5,1
"异地","男",26,4,1
"本地","男",37,5,1
"异地","男",30,5,1
"本地","男",30,2,1
"异地","女",46,2,1
"本地","男",32,2,1
"异地","女",36,1,1
"本地","男",32,1,1
"异地","男",25,2,1
"本地","女",32,1,1
"本地","女",20,1,1
"本地","女",25,2,1
"本地","男",30,6,1
"异地","女",35,2,1
"异地","男",28,6,1
"异地","男",30,3,1
"本地","女",30,5,1
"异地","男",38,8,1
"本地","男",25,6,1
"本地","男",26,7,1
"异地","男",25,3,1
"异地","男",28,3,1
"本地","女",30,8,1
"异地","男",26,2,1
"异地","女",28,5,1
"本地","男",36,9,1
"本地","男",20,4,1
"异地","女",31,4,1
"本地","男",30,8,1
"异地","男",27,4,1
"异地","男",20,1,1
"本地","男",27,1,1
"异地","男",25,1,1
"本地","女",31,9,1
"异地","男",26,4,1
"异地","女",33,1,1
"异地","男",32,1,1
"异地","男",30,1,1
"本地","男",25,7,1
"异地","女",22,6,1
"异地","男",40,2,1
"异地","男",37,2,1
"异地","男",31,5,1
"本地","男",31,8,1
"异地","男",20,6,1
"异地","男",26,2,1
"异地","男",30,2,1
"本地","男",22,7,1
"异地","男",36,10,0
"异地","女",35,11,1
"异地","男",30,2,1
"异地","男",25,2,1
"异地","男",27,2,1
"本地","男",26,9,1
"异地","男",22,7,1
"异地","男",26,3,1
"异地","男",30,5,1
"异地","男",26,9,1
"异地","男",25,11,1
"本地","女",36,8,1
"异地","男",20,2,1
"本地","女",30,3,1
"本地","男",30,2,1
"异地","男",29,2,1
"异地","男",25,9,1
"异地","男",25,2,1
"异地","女",22,2,1
"异地","女",23,2,1
"异地","女",26,5,1
"异地","女",31,2,1
"本地","男",20,7,1
"异地","女",30,5,1
"异地","男",26,2,1
"异地","男",42,5,1
"异地","女",25,11,1
"本地","男",26,2,1
"本地","女",31,1,1
"异地","女",26,1,1
"本地","男",30,3,1
"本地","男",26,2,1
"本地","男",46,7,1
"异地","女",42,12,1
"异地","男",25,11,1
"异地","男",31,3,1
"异地","男",32,3,1
"异地","男",26,2,1
"异地","男",27,11,1
"异地","男",31,3,1
"本地","男",27,4,1
"异地","男",31,2,1
"异地","男",30,2,1
"异地","男",30,2,1
"异地","男",22,8,1
"本地","女",27,2,1
"异地","女",26,2,1
"异地","男",30,2,1
"异地","女",26,2,1
"本地","男",36,8,1
"本地","男",32,12,1
"异地","男",26,2,1
"异地","女",41,2,1
"异地","女",26,3,1
"异地","男",25,3,1
"本地","女",30,11,1
"异地","女",28,8,1
"本地","男",25,2,1
"本地","男",21,11,1
"异地","男",36,2,1
"异地","男",25,3,1
"异地","男",27,3,1
"异地","女",25,2,1
"异地","男",30,3,1
"本地","男",31,3,1
"异地","男",25,8,1
"异地","男",25,2,1
"异地","男",26,2,1
"异地","男",31,3,1
"本地","男",36,2,1
"异地","男",23,3,1
"本地","女",30,2,1
"本地","男",25,6,1
"异地","男",47,2,1
"异地","女",25,3,1
"异地","男",32,3,1
"本地","男",32,8,1
"本地","男",25,3,1
"异地","男",36,3,1
"异地","男",38,9,1
"异地","女",20,5,1
