district,bedrooms,halls,area,floor,subway,school,price
海淀,2,1,59.10588036,middle,1,0,6.849040612
海淀,2,0,59.42943688,low,1,1,8.390811066
朝阳,3,2,126.6005412,high,1,1,5.609714774
海淀,2,1,80.57052135,high,0,0,5.393181304
东城,1,1,58.53091601,middle,1,0,7.508901914
东城,1,2,59.95142571,middle,1,1,10.2134922
东城,3,1,67.12889219,low,1,0,10.18560153
西城,2,1,70.88108567,low,1,1,9.297940211
东城,1,0,55.47325084,low,1,0,3.975226004
东城,4,1,177.6679996,high,1,0,7.325636384
朝阳,2,1,56.58454472,low,0,0,5.262329912
海淀,2,1,56.44011238,middle,1,1,9.455165958
丰台,2,1,101.124429,low,0,0,4.086687473
丰台,2,2,101.1615862,middle,1,0,4.208392169
西城,2,2,96.77183149,high,1,0,8.576996811
朝阳,3,1,145.5646675,high,1,1,6.630191083
朝阳,2,1,98.76674565,high,1,1,6.763999517
西城,1,1,50.80796258,low,0,1,6.468776365
朝阳,3,1,132.1412082,high,1,0,4.981316769
石景山,2,1,54.32557162,high,1,0,3.942068603
海淀,3,2,121.4606503,middle,0,0,7.34099128
朝阳,2,1,80.3263784,high,0,0,4.776165952
东城,1,1,77.37717959,middle,1,0,8.915674308
朝阳,1,1,63.56983965,middle,1,1,4.175125361
石景山,2,1,91.14077457,high,1,0,4.147027303
西城,2,2,122.2943935,middle,0,1,5.749556031
海淀,3,2,124.1636372,middle,1,1,11.10155611
海淀,2,1,101.7146052,low,0,0,7.300636251
东城,3,2,147.4114495,low,1,1,6.697699528
丰台,2,2,99.98738486,middle,1,0,4.074482553
石景山,2,2,115.1493204,middle,1,0,6.036606597
丰台,2,1,84.61259393,middle,1,0,3.363297244
丰台,3,1,137.3287172,middle,1,0,2.937427709
丰台,3,1,120.7112396,high,1,0,5.035116647
西城,2,1,75.75243907,high,0,1,9.085034735
东城,3,2,138.5646113,low,1,0,7.16929625
西城,3,1,111.637733,high,1,1,9.703429224
东城,2,1,75.15158946,high,1,1,10.26423183
海淀,2,1,92.9379385,low,1,0,5.383183363
东城,1,0,61.76844691,high,1,0,5.61131426
朝阳,3,2,197.2679544,low,1,0,7.274000143
石景山,3,1,86.27542169,middle,0,0,3.693055
石景山,2,1,59.91524351,high,0,0,2.689810766
丰台,3,1,145.4415012,high,1,0,3.05875892
东城,1,1,59.60331063,low,1,1,8.999244459
西城,2,1,60.14319477,middle,1,1,8.398126427
海淀,1,1,46.99906146,low,1,1,9.587438656
朝阳,2,1,65.43173075,low,1,0,4.407028746
海淀,2,2,142.5401424,low,1,1,7.615396467
石景山,3,1,75.70224536,high,1,0,4.515380851
丰台,3,2,130.5977336,high,1,0,3.740909128
石景山,2,1,59.58516776,high,1,1,4.444301961
朝阳,2,2,118.5376916,middle,1,0,6.519648152
朝阳,1,1,47.26150747,high,1,1,6.404255505
丰台,2,1,51.92378197,high,1,0,4.082781259
海淀,2,2,90.53802092,low,1,1,6.257995005
西城,3,1,78.67358704,low,1,1,9.610468929
石景山,2,1,73.25176186,middle,1,0,4.328348827
朝阳,4,2,133.2829445,middle,1,1,6.262683204
东城,2,1,52.13969569,high,1,1,7.688199141
朝阳,1,0,42.16619626,middle,1,0,5.893954535
西城,2,1,58.67070209,middle,1,1,9.824479913
石景山,3,1,104.6232841,middle,0,0,4.41766879
丰台,2,1,61.35484787,high,1,0,3.601117169
朝阳,1,1,48.85383209,low,1,1,4.502940306
丰台,2,1,68.62539559,low,0,0,3.981949188
海淀,3,1,79.15096843,high,1,1,9.561680213
海淀,2,1,66.95308201,low,1,0,6.131664168
丰台,3,1,67.98020239,low,1,0,3.662782161
西城,2,1,91.98238054,low,1,0,8.173147178
东城,2,1,50.41483946,high,1,1,8.39438432
朝阳,3,2,129.300466,low,0,0,4.242655642
朝阳,3,2,137.5732854,middle,1,1,7.532743147
丰台,1,1,74.24348348,middle,0,0,3.417565808
石景山,1,1,50.92447758,high,1,0,6.168124283
西城,1,1,55.08148739,middle,1,0,6.832835558
